,bat_id,pulse_id,distance_to_edge [cm],"flight_id (0:first, 1:last)"
476,H,28,16,0
477,H,29,15,0
478,H,29,17,0
479,H,29,57,0
480,H,30,0,0
481,H,30,17,0
482,H,30,18,0
483,H,30,55,0
484,H,35,27,0
485,H,35,27,0
486,H,35,23,0
487,H,36,26,0
488,H,37,27,0
489,H,38,24,0
490,H,38,23,0
491,H,39,23,0
492,H,39,23,0
493,H,40,18,0
494,H,40,17,0
495,H,40,17,0
496,H,41,15,0
497,H,41,16,0
498,H,42,5,0
499,H,42,8,0
500,H,42,7,0
501,H,43,4,0
502,H,43,2,0
503,H,43,4,0
504,H,43,4,0
505,H,43,4,0
506,H,43,3,0
507,H,43,3,0
508,H,43,3,0
509,H,44,0,0
510,I,0,0,0
511,I,0,2,0
512,I,0,63,0
513,I,1,2,0
514,I,1,3,0
515,I,1,64,0
516,I,2,0,0
517,I,2,2,0
518,I,2,64,0
519,I,2,34,0
520,I,3,0,0
521,I,3,0,0
522,I,3,59,0
523,I,3,37,0
524,I,4,1,0
525,I,4,6,0
526,I,5,1,0
527,I,5,0,0
528,I,5,58,0
529,I,5,1,0
530,I,6,2,0
531,I,6,62,0
532,I,7,2,0
533,I,8,0,0
534,I,8,63,0
535,I,9,2,0
536,I,9,4,0
537,I,9,59,0
538,I,9,61,0
539,I,10,4,0
540,I,10,4,0
541,I,10,61,0
542,I,10,63,0
543,I,11,6,0
544,I,11,5,0
545,I,11,5,0
546,I,11,5,0
547,I,11,63,0
548,I,12,0,0
549,I,12,7,0
550,I,12,8,0
551,I,12,58,0
552,I,12,65,0
553,I,13,0,0
554,I,13,10,0
555,I,13,10,0
556,I,13,11,0
557,I,13,59,0
558,I,14,7,0
559,I,14,6,0
560,I,15,7,0
561,I,15,7,0
562,I,15,8,0
563,I,15,66,0
564,I,16,5,0
565,I,16,5,0
566,I,16,5,0
567,I,17,0,0
568,I,17,1,0
569,I,17,1,0
570,I,18,1,0
571,I,19,0,0
572,I,19,64,0
573,I,20,1,0
574,I,20,1,0
575,I,21,1,0
576,I,21,5,0
577,I,21,64,0
578,I,22,1,0
579,I,22,0,0
580,I,22,3,0
581,I,23,8,0
582,I,23,8,0
583,I,23,61,0
584,I,29,19,0
585,I,30,17,0
586,I,31,15,0
587,I,32,12,0
588,I,33,10,0
589,I,33,10,0
590,I,33,12,0
591,I,34,4,0
592,I,34,3,0
593,I,34,1,0
594,I,35,1,0
595,I,36,1,0
596,MF,0,1,0
