Bat ID,Corr coef,tau [ms],with pulse or echo,first or last
D,0.358011707,250,echo direction,last
D,0.390140499,260,echo direction,last
D,0.389445091,270,echo direction,last
D,0.388188902,280,echo direction,last
D,0.409739099,290,echo direction,last
D,0.401814355,300,echo direction,last
D,0.393080137,310,echo direction,last
D,0.383497592,320,echo direction,last
D,0.373023462,330,echo direction,last
D,0.361610833,340,echo direction,last
D,0.353860436,350,echo direction,last
D,0.342393611,360,echo direction,last
D,0.304708967,370,echo direction,last
D,0.306476648,380,echo direction,last
D,0.2855047,390,echo direction,last
D,0.266717809,400,echo direction,last
D,0.246870101,410,echo direction,last
D,0.225916802,420,echo direction,last
D,0.20381695,430,echo direction,last
D,0.180535984,440,echo direction,last
D,0.151547163,450,echo direction,last
D,0.128421206,460,echo direction,last
D,0.104287281,470,echo direction,last
D,0.07914374,480,echo direction,last
D,0.057560006,490,echo direction,last
D,0.027243772,500,echo direction,last
D,-0.003945064,510,echo direction,last
D,-0.036286864,520,echo direction,last
D,-0.069545138,530,echo direction,last
D,-0.103627331,540,echo direction,last
D,-0.148155621,550,echo direction,last
D,-0.188843416,560,echo direction,last
D,-0.219174759,570,echo direction,last
D,-0.26614272,580,echo direction,last
D,-0.291417752,590,echo direction,last
D,-0.316275956,600,echo direction,last
F,0.636529454,-100,pulse direction,first
F,0.642120505,-90,pulse direction,first
F,0.673600796,-80,pulse direction,first
F,0.677315706,-70,pulse direction,first
F,0.70856327,-60,pulse direction,first
F,0.736223088,-50,pulse direction,first
F,0.760579332,-40,pulse direction,first
F,0.762792149,-30,pulse direction,first
F,0.786871386,-20,pulse direction,first
F,0.793077049,-10,pulse direction,first
F,0.806955444,0,pulse direction,first
F,0.821914103,10,pulse direction,first
F,0.840837139,20,pulse direction,first
F,0.85592278,30,pulse direction,first
F,0.867535231,40,pulse direction,first
F,0.87609012,50,pulse direction,first
F,0.881971125,60,pulse direction,first
F,0.885503832,70,pulse direction,first
F,0.886965049,80,pulse direction,first
F,0.886578188,90,pulse direction,first
F,0.884525022,100,pulse direction,first
F,0.880970984,110,pulse direction,first
F,0.875919046,120,pulse direction,first
F,0.871506896,130,pulse direction,first
F,0.861774442,140,pulse direction,first
F,0.852652471,150,pulse direction,first
F,0.842197004,160,pulse direction,first
F,0.830399732,170,pulse direction,first
F,0.817245836,180,pulse direction,first
F,0.802725207,190,pulse direction,first
F,0.786808275,200,pulse direction,first
F,0.772111875,210,pulse direction,first
F,0.750893869,220,pulse direction,first
F,0.73073976,230,pulse direction,first
F,0.709247612,240,pulse direction,first
F,0.686287859,250,pulse direction,first
F,0.661965344,260,pulse direction,first
F,0.636322942,270,pulse direction,first
F,0.609416353,280,pulse direction,first
F,0.581313957,290,pulse direction,first
F,0.552135859,300,pulse direction,first
F,0.521898286,310,pulse direction,first
F,0.490740002,320,pulse direction,first
F,0.458772364,330,pulse direction,first
F,0.426114114,340,pulse direction,first
F,0.392892169,350,pulse direction,first
